sub_region_1,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Jakarta,2022-01-01,-18,1,-16,-29,-50,5
Jakarta,2022-01-02,-7,15,-23,-16,-9,2
Jakarta,2022-01-03,-7,18,-17,-23,-22,6
Jakarta,2022-01-04,-8,16,-17,-22,-20,6
Jakarta,2022-01-05,-9,11,-17,-21,-18,6
Jakarta,2022-01-06,-10,10,-18,-23,-16,6
Jakarta,2022-01-07,-7,11,-12,-24,-14,7
Jakarta,2022-01-08,-6,17,-11,-17,-8,3
Jakarta,2022-01-09,-6,15,-17,-15,-3,4
Jakarta,2022-01-10,-10,11,-18,-22,-16,6
Jakarta,2022-01-11,-16,2,-30,-24,-17,7
Jakarta,2022-01-12,-13,5,-24,-24,-15,7
Jakarta,2022-01-13,-6,16,-13,-21,-14,6
Jakarta,2022-01-14,-6,12,-10,-23,-13,7
Jakarta,2022-01-15,-8,14,-14,-19,-7,4
Jakarta,2022-01-16,-10,8,-25,-19,-4,5
Jakarta,2022-01-17,-9,12,-16,-22,-14,7
Jakarta,2022-01-18,-18,2,-28,-22,-16,9
Jakarta,2022-01-19,-7,12,-15,-24,-14,7
Jakarta,2022-01-20,-7,12,-14,-25,-12,7
Jakarta,2022-01-21,-3,14,0,-24,-10,7
Jakarta,2022-01-22,-7,12,-11,-20,-7,5
Jakarta,2022-01-23,-7,10,-13,-21,-1,5
Jakarta,2022-01-24,-8,12,-10,-26,-13,7
Jakarta,2022-01-25,-8,15,-13,-25,-15,8
Jakarta,2022-01-26,-8,11,-15,-26,-16,8
Jakarta,2022-01-27,-6,15,-8,-27,-15,8
Jakarta,2022-01-28,-4,17,-4,-27,-15,9
Jakarta,2022-01-29,-7,21,-7,-20,-7,4
Jakarta,2022-01-30,-10,13,-18,-23,-3,5
Jakarta,2022-01-31,-5,21,-8,-29,-26,9
Jakarta,2022-02-01,-11,10,4,-44,-68,18
Jakarta,2022-02-02,-12,15,-16,-31,-24,10
Jakarta,2022-02-03,-13,14,-14,-34,-24,11
Jakarta,2022-02-04,-18,4,-22,-36,-25,14
Jakarta,2022-02-05,-18,13,-24,-27,-13,8
Jakarta,2022-02-06,-18,9,-28,-28,-7,8
Jakarta,2022-02-07,-15,12,-21,-36,-28,12
Jakarta,2022-02-08,-24,0,-33,-41,-32,15
Jakarta,2022-02-09,-19,5,-25,-40,-29,14
Jakarta,2022-02-10,-17,10,-18,-39,-29,13
Jakarta,2022-02-11,-16,8,-13,-40,-28,14
Jakarta,2022-02-12,-19,9,-20,-34,-13,8
Jakarta,2022-02-13,-24,-1,-32,-36,-8,9
Jakarta,2022-02-14,-17,7,-22,-39,-28,13
Jakarta,2022-02-15,-22,1,-28,-41,-28,14
Jakarta,2022-02-16,-21,-1,-24,-41,-27,14
Jakarta,2022-02-17,-18,6,-18,-40,-26,13
Jakarta,2022-02-18,-18,4,-17,-41,-24,14
Jakarta,2022-02-19,-19,7,-19,-34,-9,8
Jakarta,2022-02-20,-21,2,-25,-35,-5,8
Jakarta,2022-02-21,-17,5,-18,-39,-23,11
Jakarta,2022-02-22,-18,3,-22,-39,-24,12
Jakarta,2022-02-23,-19,2,-21,-38,-23,12
Jakarta,2022-02-24,-18,3,-18,-38,-22,11
Jakarta,2022-02-25,-14,12,-14,-36,-20,12
Jakarta,2022-02-26,-16,15,-16,-25,-7,5
Jakarta,2022-02-27,-17,6,-18,-27,-4,4
Jakarta,2022-02-28,-14,6,2,-47,-64,16
Jakarta,2022-03-01,-22,5,-30,-35,-23,11
Jakarta,2022-03-02,-13,13,-15,-31,-21,8
Jakarta,2022-03-03,-12,8,8,-45,-61,17
Jakarta,2022-03-04,-14,7,-10,-36,-18,11
Jakarta,2022-03-05,-18,5,-22,-30,-8,6
Jakarta,2022-03-06,-17,4,-24,-27,-3,6
Jakarta,2022-03-07,-17,5,-19,-35,-18,10
Jakarta,2022-03-08,-22,-3,-28,-36,-19,11
Jakarta,2022-03-09,-19,1,-22,-36,-18,11
Jakarta,2022-03-10,-20,-1,-20,-36,-16,11
Jakarta,2022-03-11,-18,-2,-16,-35,-15,12
Jakarta,2022-03-12,-20,0,-23,-26,-6,7
Jakarta,2022-03-13,-19,-1,-27,-23,-1,7
Jakarta,2022-03-14,-22,-6,-27,-36,-16,12
Jakarta,2022-03-15,-22,-4,-28,-35,-17,11
Jakarta,2022-03-16,-19,-1,-19,-33,-15,10
Jakarta,2022-03-17,-21,-6,-23,-35,-15,11
Jakarta,2022-03-18,-16,-1,-11,-33,-13,11
Jakarta,2022-03-19,-15,3,-11,-22,-5,6
Jakarta,2022-03-20,-18,-2,-22,-21,-1,6
Jakarta,2022-03-21,-19,-3,-21,-33,-15,10
Jakarta,2022-03-22,-21,-5,-23,-32,-16,11
Jakarta,2022-03-23,-20,-6,-21,-32,-16,10
Jakarta,2022-03-24,-17,-2,-16,-31,-14,9
Jakarta,2022-03-25,-11,6,-5,-29,-13,9
Jakarta,2022-03-26,-17,1,-20,-20,-6,5
Jakarta,2022-03-27,-14,2,-24,-13,-1,4
Jakarta,2022-03-28,-15,3,-18,-29,-15,9
Jakarta,2022-03-29,-15,2,-16,-28,-16,9
Jakarta,2022-03-30,-13,3,-16,-27,-15,8
Jakarta,2022-03-31,-11,7,-16,-25,-14,7
Jakarta,2022-04-01,-8,14,-8,-25,-14,8
